record_id|employee_id|record_date|hours_worked|overtime_hours|performance_score|attendance_status|bonus_amount|salary_paid
1|1214|February 18, 2022|199.3|15.6|4.0|Present|0|576910.07
2|1717|14/08/24||8.6|2.7|present|37963.98|
3|1618|10/04/2021|-5.0|8.6|3.3|Remote|0|370100.62
4|1843|26-04-2024|188.2|6.0|4.7|Present|33568.24|297038.74
5|1310|09-01-2017||15.6|2.3|Absent|0|889806.22
6|1623|19/12/21|124.6|10.7|4.0|PRESENT|0|899938.7
7|1699|11/24/2017|135.5|4.8|1.2|Leave|0|402894.53
8|1077|19-Aug-2020|196.6|0.2|3.1|Absent|0|296300.5
9|1477|06/05/18|-5.0|9.7|1.3|Absent|0|647048.39
10|1729|01-03-2015|194.2|4.5|4.8|present|45283.3|892706.75
11|1375|17/03/18|163.3|0.7|3.8|Remote|46603.74|707541.53
12|1067|2020-02-28|198.8|14.8|2.0|Present|0|840957.75
13|1794|19-Mar-2021|161.1|24.3|3.2|Remote|0|168348.83
14|1478|2018-12-19|177.4|20.7|1.0|Present|0|177120.1
15|1023|05/08/22|176.8|23.2|4.8|Absent|0|891543.11
16|1102|December 16, 2024|161.8|15.8|4.7|Present|0|780042.68
17|1199|2024-06-14|164.6|23.4|3.7|present|0|921656.66
18|1047|19/01/24|174.4|15.1|4.9|Present|4606.97|815483.2
19|1385|09-07-2018|129.9|16.7|4.4|Present|0|843996.31
20|1738|10/11/2023|180.2|5.7|4.8|Present|31802.98|582867.2
21|1087|2020-09-27|129.1|16.1|4.9|PRESENT|0|639995.99
22|1542|07-02-2020|184.4|24.0|4.0|Present|0|640193.18
23|1639|21/04/18||2.2|4.6|Present|29699.24|536916.7
24|1212|2021-01-21|152.7|23.0|1.8|Present|15864.19|459314.82
25|1317|July 15, 2022|147.8|19.0|1.1|Present|0|937165.07
26|1748|19/12/22|121.2|7.6|3.1|Present|0|501994.49
27|1830|24-Mar-2022|143.5|19.9|4.8|absent |0|891100.64
28|1212|03-Jan-2020|154.3|11.0|3.4|Present|0|364121.98
29|1244|12/22/2021|198.4|10.1|4.8|Leave|0|918387.64
30|1531|28/07/20|182.7|9.7|2.9|Absent|0|684812.05
31|1053|November 20, 2024|184.4|7.2|4.5|Present|0|323733.79
32|1688|February 05, 2021|138.0|17.5|3.1|Remote|9265.61|183977.71
33|1061|18-Aug-2023|162.6|2.5|4.3|Absent|33826.85|787726.61
34|1038|05-04-2020|138.9|19.0|1.0|Present||248381.19
35|1267|20/06/24|163.5|21.3|1.5|PRESENT|0|786702.94
36|1683|20/12/18|166.8|20.4|4.7|Present|49337.06|363778.48
37|1660|01/01/20|199.2|6.5|1.6|Leave|0|767407.59
38|1222|20-Jul-2018|154.0|14.1|4.1|Leave|0|238567.19
39|1632|19/04/20|179.9|20.2|2.9|Present|0|861303.01
40|1625|23/04/22|121.4|15.4|1.4|Present|0|696537.23
41|1102|25-12-2021|125.2|9.4|4.0|Present|0|261713.94
42|1155|27/06/19|128.3|9.0|2.4|Present|0|733857.17
43|1321|05/14/2024|171.2|15.9|1.4|Present|0|156523.59
44|1130|10/03/24|152.9|22.6|4.4|Present|0|217914.03
45|1792|10/12/23|160.2|1.2|1.5|Remote|0|827933.32
46|1123|08/24/2020||12.3|3.6|absent |0|888701.62
47|1317|2022-12-07|180.2|19.9|3.9|Present|32899.91|458414.95
48|1241|May 12, 2018|129.6|19.8|1.0|Present|0|812268.47
49|1248|14/10/15|187.4|13.4|4.3|Absent|1441.99|907426.79
50|1288|16-May-2019||19.3|3.8|PRESENT||579658.73
51|1389|10-06-2020|139.6|16.3|1.9|PRESENT|0|587276.55
52|1441|06/15/2021||4.7|1.6|PRESENT|41547.47|270754.68
53|1823|06/11/16|153.7|5.2|1.1|present|0|577170.35
54|1439|January 11, 2019|150.3|17.8|4.3|Present|0|717165.62
55|1392|11/04/17|175.4|13.5|3.5|PRESENT|11850.46|885408.55
56|1580|02/28/2023|168.5||2.0|Present|0|
57|1375|12/26/2019|133.1|12.5|4.8|Present|0|462909.51
58|1527|12/27/2017|199.9|22.0|3.9|Absent|0|748165.31
59|1346|21-Dec-2017|161.3|7.2|1.6|Absent|0|426166.09
60|1781|19-Jul-2021|155.1|20.9|4.8|present|0|830924.34
61|1115|September 01, 2020|123.6|4.0|4.2|Present|0|734382.45
62|1657|May 12, 2023|128.1|19.0|1.1|absent |32689.03|726201.69
63|1343|21-12-2024|177.1|8.3|3.2|present|0|312636.69
64|1464|06-Jul-2018|161.0|5.5|3.3|Present|0|400652.09
65|1080|03-Feb-2023|188.3|12.1|2.2|Remote|0|863760.06
66|1777|25-Apr-2024|174.2|2.5|1.1|absent |0|152082.63
67|1658|May 09, 2021|162.9|16.3|2.5|Present||680424.55
68|1772|07-Sep-2017|166.7||2.9|Present|0|372161.57
69|1133|13-Sep-2022|157.2||4.3|Present|0|324834.82
